Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3340,3102,6442,,,,,,,,,1360492,,,1360492,2663803,1981775,,4645578,,,,,,,,,,,,,,,,,,,,,161040,134507,,295547,,551454,,551454,10262787,,,10262787,485011,490615,,975626,461383,829786,,1291169,,,,,,618868,,618868,,,,,,,,,357146,666694,,1023840,109386,109387,,218773,,,,,692870,844150,,1537020,,885923,,885923,,,,,857467,981726,,1839193,,,,,,373285,,373285,,,,,,,,,473050,574154,,1047204,,,,,,,,,1076724,1184452,,2261176,407013,1121332,,1528345,376118,449136,,825254,,,,,200913,,,200913,,433734,,433734,19945203,12230978,,758857,32935038
2004,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3409,3097,6506,,,,,,,,,1419105,,,1419105,2554634,2445674,,5000308,,,,,,,,,,,,,,,,,,,,,134540,151846,,286386,,492167,,492167,10900533,,,10900533,547603,534774,,1082377,457201,1272288,,1729489,,,,,,552944,,552944,,,,,,,,,523803,698967,,1222770,,212428,212427,424855,,,,,756592,894010,,1650602,,935304,,935304,,,,,902273,1103525,,2005798,,,,,,401128,,401128,,,,,,,,,474477,712471,,1186948,,,,,,,,,1020796,1222076,,2242872,388958,1218444,,1607402,388357,447234,,835591,,,,,247494,,,247494,,229095,,229095,20716366,13524375,212427,7331479,41784647
2005,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3436,3079,6515,,,,,,,,,1503958,,,1503958,3024785,2259166,,5283951,,,,,,,,,,,,,,,,,,,,,179330,186372,,365702,,620817,,620817,12533439,,,12533439,559248,565298,,1124546,492705,891670,,1384375,,,,,,688970,,688970,,,,,,,,,567851,886977,,1454828,,180418,180418,360836,,,,,708797,944990,,1653787,,963072,,963072,,,,,867383,1055909,,1923292,,,,,,423283,,423283,,,,,,,,,567618,753712,,1321330,,,,,,,,,963687,1408451,,2372138,471596,1436448,,1908044,414124,504910,,919034,,,,,417057,,,417057,,194088,,194088,23271578,13964551,180418,23244757,60661304
2006,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3449,3240,6689,,,,,,,,,1531744,,,1531744,3277456,2578547,,5856003,,,,,,,,,1238316,1547441,,2785757,,,,,,,,,141858,226382,,368240,,766746,,766746,12892487,,,12892487,742359,620084,,1362443,504291,1081440,,1585731,,,,,,865468,,865468,,,,,,,,,627210,1022298,,1649508,,175877,183471,359348,,,,,752839,1028126,,1780965,,1030715,,1030715,,161479,,161479,865664,1260921,,2126585,,,,,,468727,,468727,,,,,,,,,540012,673907,,1213919,,,,,,,,,,,,,508363,1424645,,1933008,512502,526561,,1039063,,,,,478824,,,478824,,249871,,249871,24613925,15709235,183471,23327562,63834193
2007,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3446,3313,6759,,,,,,,,,1600228,,,1600228,3329097,2519476,,5848573,,,,,,,,,1386431,1610626,,2997057,,,,,,,,,176208,240552,,416760,,830533,,830533,14857644,,,14857644,696034,673879,,1369913,607357,1122632,,1729989,,,,,,959770,,959770,,,,,,,,,656512,1022553,,1679065,,279899,279073,558972,,,,,894891,1101435,,1996326,,1179721,,1179721,,136039,,136039,1174402,1109187,,2283589,,,,,,527071,,527071,,,,,,,,,519617,815764,,1335381,,,,,,,,,,,,,489992,1404630,,1894622,519249,715165,,1234414,,,,,475016,,,475016,,282677,,282677,27382678,16531609,279073,30933872,75127232
2008,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3321,3181,6502,,,,,,,,,1675774,,,1675774,4225448,2651378,,6876826,,,,,,,,,1424241,1689625,,3113866,,,,,,,,,192499,262648,,455147,,904802,,904802,13512233,,,13512233,689946,657525,,1347471,697628,1051817,,1749445,,,,,,1008470,,1008470,,,,,,,,,,274368,,274368,,165671,248507,414178,,,,,980730,1186197,,2166927,,1137053,,1137053,,201879,,201879,974886,1261841,,2236727,,,,,,470779,,470779,,,,,,,,,587620,786518,,1374138,,,,,,,,,,,,,560631,1446313,,2006944,559631,696001,,1255632,,,,,456641,,,456641,665305,1285442,,1950747,27203213,17138327,248507,30105207,74695254
2009,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3372,3192,6564,,,,,,,,,1776435,,,1776435,4380416,2698722,,7079138,,,,,,,,,1279273,1522795,,2802068,,,,,,,,,134888,208315,,343203,,1032779,,1032779,17236945,,,17236945,641945,639974,,1281919,665076,1084938,,1750014,,,,,,1005566,,1005566,,,,,,,,,652149,1275314,,1927463,,237898,237898,475796,,,,,981654,1247159,,2228813,,1164507,,1164507,,239308,,239308,948154,1149813,,2097967,,,,,,417981,,417981,,,,,,,,,664658,952274,,1616932,,,,,,,,,,,,,614989,1406585,,2021574,603200,713731,,1316931,,,,,515916,,,515916,,285095,,285095,31095698,17282754,237898,33104041,81720391
2010,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3553,3334,6887,,,,,,,,,1788415,,,1788415,4158696,2969909,,7128605,,,,,,,,,1436097,1720929,,3157026,,,,,,,,,186376,207106,,393482,,1003005,,1003005,15888069,,,15888069,652738,694247,,1346985,691106,1116582,,1807688,,,,,,989611,,989611,,,,,,,,,659517,1327583,,1987100,,238064,238064,476128,,,,,966672,1237865,,2204537,,1192130,,1192130,,265456,,265456,973422,1174104,,2147526,,,,,,401978,,401978,,,,,,,,,660712,909396,,1570108,,,,,,,,,,,,,635958,1447504,,2083462,549251,789912,,1339163,,,,,540809,,,540809,,291160,,291160,29787838,17976541,238064,33123033,81125476
2011,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3549,3305,6854,,,,,,,,,1918580,,,1918580,4487134,3508959,,7996093,,,,,,,,,1449715,1691903,,3141618,,,,,,,,,164110,166438,,330548,,961387,,961387,18738731,,,18738731,681638,739409,,1421047,758461,1170483,,1928944,,,,,,921961,,921961,,,,,,,,,635385,1315662,,1951047,,280627,280627,561254,,,,,1132208,1313878,,2446086,,1243043,,1243043,,198147,,198147,1110633,1311055,,2421688,,,,,,393342,,393342,,,,,,,,,655729,862822,,1518551,,,,,,,,,,,,,621643,1551729,,2173372,595937,831299,,1427236,,,,,578247,,,578247,,364690,,364690,33528151,18826834,280627,36497378,89132990
2012,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3653,3346,6999,,,,,,,,,1821836,,,1821836,4363906,3445917,,7809823,,307458,,307458,,,,,1522615,1812007,,3334622,,,,,,,,,164582,199863,,364445,,1145189,,1145189,16694502,,,16694502,673503,712819,,1386322,780334,1206612,,1986946,,,,,,1037028,,1037028,,,,,,,,,643801,1609466,,2253267,,286667,286667,573334,,,,,1086358,1450272,,2536630,,1267276,,1267276,,220224,,220224,1094403,1232550,,2326953,,,,,,483359,,483359,,,,,,,,,653130,934328,,1587458,,,,,,,,,,,,,619346,1283196,,1902542,603756,850465,,1454221,,,,,583975,,,583975,,290154,,290154,31306047,19774850,286667,39122670,90490234
