Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3340,3102,6442,,,,,,,,,747085,,,747085,4751267,933209,,5684476,,,,,,,,,,,,,,,,,,,,,18577,61307,,79884,,42080,,42080,9920845,,,9920845,164866,116696,,281562,28534,50474,,79008,,,,,,72054,,72054,,,,,,,,,215214,106492,,321706,56201,56201,,112402,,,,,70494,40526,,111020,,72541,,72541,,,,,87538,50033,,137571,,,,,,7370,,7370,,,,,,,,,168788,129858,,298646,,,,,,,,,181102,32454,,213556,49580,247370,,296950,159447,49296,,208743,,,,,78366,,,78366,,174351,,174351,16697904,2242312,,16889942,35830158
2004,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3409,3097,6506,,,,,,,,,593923,,,593923,5224432,985648,,6210080,,,,,,,,,,,,,,,,,,,,,17500,91993,,109493,,56149,,56149,10251632,,,10251632,142762,121201,,263963,19879,49985,,69864,,,,,,44708,,44708,,,,,,,,,183542,130633,,314175,,80026,80026,160052,,,,,71637,41684,,113321,,97582,,97582,,,,,50617,47928,,98545,,,,,,23382,,23382,,,,,,,,,173379,216457,,389836,,,,,,,,,59954,33521,,93475,37859,170568,,208427,220115,64644,,284759,,,,,86111,,,86111,,108972,,108972,17133342,2365081,80026,21947197,41525646
2005,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3436,3079,6515,,,,,,,,,712871,,,712871,5913591,995774,,6909365,,,,,,,,,,,,,,,,,,,,,21830,66759,,88589,,77189,,77189,11500898,,,11500898,273504,132977,,406481,21286,39966,,61252,,,,,,49172,,49172,,,,,,,,,315254,144750,,460004,,73058,73058,146116,,,,,84505,70560,,155065,,48642,,48642,,,,,76869,51449,,128318,,,,,,36866,,36866,,,,,,,,,411264,281782,,693046,,,,,,,,,31489,69431,,100920,38265,416360,,454625,115611,64134,,179745,,,,,121693,,,121693,,45263,,45263,19638930,2664132,73058,38328286,60704406
2006,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3449,3240,6689,,,,,,,,,665683,,,665683,6049183,1246139,,7295322,,,,,,,,,88794,91972,,180766,,,,,,,,,9055,31768,,40823,,97885,,97885,12927407,,,12927407,404506,110482,,514988,22437,25028,,47465,,,,,,17580,,17580,,,,,,,,,234298,364658,,598956,,49515,26345,75860,,,,,59780,125207,,184987,,75771,,75771,,114847,,114847,111468,77541,,189009,,,,,,17812,,17812,,,,,,,,,207001,161950,,368951,,,,,,,,,,,,,88879,347701,,436580,160056,50959,,211015,,,,,100405,,,100405,,93821,,93821,21128952,3100636,26345,41224254,65480187
2007,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3446,3313,6759,,,,,,,,,715101,,,715101,4717550,1019590,,5737140,,,,,,,,,305145,302893,,608038,,,,,,,,,12059,12059,,24118,,86729,,86729,13695340,,,13695340,377315,223343,,600658,97520,87930,,185450,,,,,,3282,,3282,,,,,,,,,232305,113844,,346149,,113548,113548,227096,,,,,135388,115749,,251137,,19015,,19015,,240529,,240529,101674,81098,,182772,,,,,,16388,,16388,,,,,,,,,339055,317270,,656325,,,,,,,,,,,,,27089,357453,,384542,126788,120383,,247171,,,,,121263,,,121263,,19802,,19802,21003592,3250905,113548,52293421,76661466
2008,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3321,3181,6502,,,,,,,,,655723,,,655723,6117561,1262592,,7380153,,,,,,,,,336741,244645,,581386,,,,,,,,,13693,13694,,27387,,104241,,104241,14178256,,,14178256,362805,249528,,612333,25139,24971,,50110,,,,,,3393,,3393,,,,,,,,,,56157,,56157,,67545,101318,168863,,,,,127309,132881,,260190,,7828,,7828,,168505,,168505,65320,55155,,120475,,,,,,41488,,41488,,,,,,,,,438263,432530,,870793,,,,,,,,,,,,,22285,317833,,340118,76662,21474,,98136,,,,,51348,,,51348,273295,142680,,415975,22744400,3347140,101318,48502396,74695254
2009,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3372,3192,6564,,,,,,,,,845569,,,845569,6191021,1728502,,7919523,,,,,,,,,416851,332843,,749694,,,,,,,,,66226,98323,,164549,,254055,,254055,21309949,,,21309949,594988,466054,,1061042,127736,113202,,240938,,,,,,173727,,173727,,,,,,,,,309497,260779,,570276,,110135,110135,220270,,,,,211510,236855,,448365,,171648,,171648,,170970,,170970,160860,155044,,315904,,,,,,179097,,179097,,,,,,,,,345464,325213,,670677,,,,,,,,,,,,,161778,487552,,649330,215585,120099,,335684,,,,,219416,,,219416,,120355,,120355,31176450,5504453,110135,44929353,81720391
2010,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3553,3334,6887,,,,,,,,,1788415,,,1788415,5449501,2969909,,8419410,,,,,,,,,1436097,1720929,,3157026,,,,,,,,,186376,207106,,393482,,1003005,,1003005,19521092,,,19521092,652738,694247,,1346985,691106,1116582,,1807688,,,,,,989611,,989611,,,,,,,,,659517,1327583,,1987100,,238064,238064,476128,,,,,966672,1237865,,2204537,,1192130,,1192130,,265456,,265456,973422,1174104,,2147526,,,,,,401978,,401978,,,,,,,,,660712,909396,,1570108,,,,,,,,,,,,,635958,1447504,,2083462,549251,789912,,1339163,,,,,540809,,,540809,,291160,,291160,34711666,17976541,238064,28199205,81125476
2011,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3549,3305,6854,,,,,,,,,1259828,,,1259828,4342985,3508959,,7851944,,,,,,,,,327637,1691903,,2019540,,,,,,,,,47969,166438,,214407,,961387,,961387,25564646,,,25564646,372902,739409,,1112311,156177,1170483,,1326660,,,,,,921961,,921961,,,,,,,,,385093,1315662,,1700755,,280627,280627,561254,,,,,222431,1313878,,1536309,,1243043,,1243043,,304346,,304346,299727,1311055,,1610782,,,,,,393342,,393342,,,,,,,,,105242,862822,,968064,,,,,,,,,,,,,113147,1445530,,1558677,149953,831299,,981252,,,,,180414,,,180414,,364690,,364690,33528151,18826834,280627,36497378,89132990
2012,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3653,3346,6999,,,,,,,,,762578,,,762578,5413005,16506988,,21919993,,100000,,100000,,,,,392985,392985,,785970,,,,,,,,,25617,30049,,55666,,146947,,146947,24839939,,,24839939,470513,319554,,790067,165255,112523,,277778,,,,,,107604,,107604,,,,,,,,,380898,356640,,737538,,128868,286667,415535,,,,,181379,262200,,443579,,217801,,217801,,311275,,311275,293351,101653,,395004,,,,,,103883,,103883,,,,,,,,,93169,40648,,133817,,,,,,,,,,,,,107826,295662,,403488,184487,133292,,317779,,,,,145787,,,145787,,106278,,106278,33456789,19774850,286667,36971928,90490234
2013,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3706,3274,6980,,,,,,,,,714358,,,714358,6605434,17576589,,24182023,,25000,,25000,,,,,352198,264843,,617041,,,,,,,,,25380,33259,,58639,,171371,,171371,36745030,,,36745030,268890,346103,,614993,261364,108336,,369700,,,,,,130221,,130221,,,,,,,,,460755,201064,,661819,,181245,339829,521074,,,,,258291,241439,,499730,,205036,,205036,,350398,,350398,232152,108228,,340380,,,,,,111469,,111469,,,,,,,,,180995,39279,,220274,,,,,,,,,,,,,154813,367277,,522090,228138,178516,,406654,,,,,146514,,,146514,,126981,,126981,46634312,20766654,339829,42499695,110240490
2014,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3704,3314,7018,,,,,,,,,833471,,,833471,6932561,18070314,,25002875,,10000,,10000,,,,,500183,378158,,878341,,,,,,,,,15239,15565,,30804,,200730,,200730,37519312,,,37519312,414892,307714,,722606,248045,117912,,365957,,,,,,126867,,126867,,,,,,,,,354909,234606,,589515,,139880,288122,428002,,,,,359162,346832,,705994,,201321,,201321,,328840,,328840,231441,103821,,335262,,,,,,100870,,100870,,,,,,,,,274807,51198,,326005,,,,,,,,,,,,,131504,465127,,596631,299426,232687,,532113,,,,,162929,,,162929,,107102,,107102,48277881,21539544,288122,39565183,109670730
2015,243744,Stanford University,CA,NCAA Division I-A,,1,NCAA,3663,3331,6994,,,,,,,,,798926,,,798926,6847588,20043215,,26890803,,10000,,10000,,,,,523318,381965,,905283,,,,,,,,,21379,21643,,43022,,186276,,186276,43744639,,,43744639,522508,359248,,881756,262323,106080,,368403,,,,,,119702,,119702,,,,,,,,,580440,228541,,808981,,107481,284636,392117,,,,,374087,342917,,717004,,211117,,211117,,348845,,348845,236554,104920,,341474,,,,,,105097,,105097,,,,,,,,,257984,67674,,325658,,,,,,,,,,,,,124402,478633,,603035,373719,256233,,629952,,,,,177627,,,177627,,151909,,151909,54845494,23631496,284636,33274629,112036255
2016,243744,Stanford University,CA,NCAA Division I-FBS,,1,NCAA,3620,3412,7032,,,,,,,,,825265,,,825265,6971688,21440365,,28412053,,27778,,27778,,,,,524850,428389,,953239,,,,,,,,,69113,91546,,160659,,164481,,164481,44469378,,,44469378,680008,347550,,1027558,262708,112198,,374906,,,,,,122096,,122096,,,,,,,,,454598,185273,,639871,,89715,298442,388157,,,,,384621,337271,,721892,,203185,,203185,,428615,,428615,256508,188994,,445502,,,,,,110928,,110928,,,,,,,,,313480,133816,,447296,,,,,,,,,,,,,337707,223455,,561162,304326,266480,,570806,,,,,184792,,,184792,,123583,,123583,56039042,25025718,298442,43676356,125039558
2017,243744,Stanford University,CA,NCAA Division I-FBS,,1,NCAA,3510,3546,7056,,,,,,,,,824133,,,824133,7254493,2030574,,9285067,,4481,,4481,,,,,389573,233321,,622894,,,,,,,,,94992,96979,,191971,,165670,,165670,46847028,,,46847028,684531,363682,,1048213,260928,102833,,363761,,,,,,142310,,142310,,,,,,,,,393433,195709,,589142,,155057,155057,310114,,,,,316091,273898,,589989,,177807,,177807,,371504,,371504,249073,206650,,455723,,,,,,101389,,101389,,,,,,,,,374655,158892,,533547,,,,,,,,,,,,,121376,373808,,495184,301384,258994,,560378,,,,,164631,,,164631,,116820,,116820,58276321,5530378,155057,74004243,137965999
2018,243744,Stanford University,CA,NCAA Division I-FBS,,1,NCAA,3535,3548,7083,,,,,,,,,968032,,,968032,6769220,2289210,,9058430,,2111,,2111,,,,,786260,210012,,996272,,,,,,,,,89102,88963,,178065,,112547,,112547,44462092,,,44462092,431076,356983,,788059,321726,162029,,483755,,,,,,73257,,73257,,,,,,,,,402827,194038,,596865,,40556,40556,81112,,,,,333118,301460,,634578,,166335,,166335,,449320,,449320,248329,192580,,440909,,,,,,50553,,50553,,,,,,,,,431240,175575,,606815,,,,,,,,,,,,,83659,607937,,691596,402680,288274,,690954,,,,,102333,,,102333,,70286,,70286,55831694,5832026,40556,77686656,139390932
